Lake Name,Townshiop,STN,Site ID,Site Description,Latitude (DMS),Longitude (DMS),Date (DD-MMM-YY),Chloride (mg/L)
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,29-May-15,0.64
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,21-May-16,0.71
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,19-Jul-16,0.78
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,10-May-17,0.67
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,08-Jun-17,0.68
ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,02-May-15,33.00
ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,22-May-16,32.40
ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,26-May-17,38.10
ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,13-May-18,37.40
ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,06-May-19,37.90
ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,07-Oct-20,50.30
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,07-May-15,8.53
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,11-May-16,8.83
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,08-Jun-18,8.79
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,30-May-19,8.10
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,24-May-20,8.86
AEROBUS LAKE,UNORGANIZED,25,1,"North Basin, Deep Spot- Aer-N",502050,932123,30-May-18,0.17
AEROBUS LAKE,UNORGANIZED,25,2,"South Basin, Deep Spot- Aer-S",501826,932503,30-May-18,0.16
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,01-Jun-15,3.94
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,03-Jul-15,4.79
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,20-May-16,3.77
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,17-Jun-16,4.31
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,17-Jun-16,4.31
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,17-Jul-16,4.72
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,02-Jun-18,4.58
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,18-May-19,3.50
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,11-Jun-19,4.90
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,08-Jul-19,5.71
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,01-Jun-15,3.70
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,03-Jul-15,4.45
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,20-May-16,3.98
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,17-Jun-16,4.12
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,17-Jun-16,4.12
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,17-Jul-16,4.21
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,02-Jun-18,4.32
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,18-May-19,3.40
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,11-Jun-19,4.30
AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,08-Jul-19,5.04
AIRD LAKE,GRIFFITH AND MATAWATCHAN,33,2,"Main Basin, Deep spot",450781,770451,18-May-15,0.63
AIRD LAKE,GRIFFITH AND MATAWATCHAN,33,2,"Main Basin, Deep spot",450781,770451,22-May-16,0.59
AIRD LAKE,GRIFFITH AND MATAWATCHAN,33,2,"Main Basin, Deep spot",450781,770451,22-May-17,0.64
AIRD LAKE,GRIFFITH AND MATAWATCHAN,33,2,"Main Basin, Deep spot",450781,770451,26-May-19,0.50
ALBION LAKE,FARADAY,5204,1,Mid Lake - Deep Spot,450279,775884,04-Jul-15,1.64
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,17-May-15,0.43
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,23-May-16,0.56
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,22-May-17,0.61
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,21-May-18,0.65
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,02-Jun-19,0.60
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,04-Oct-20,0.75
ANSTRUTHER LAKE,N KAWARTHA,96,1,"N end, deep spot",444518,781140,12-Jun-17,0.58
ANSTRUTHER LAKE,N KAWARTHA,96,1,"N end, deep spot",444518,781140,24-May-18,0.59
ANSTRUTHER LAKE,N KAWARTHA,96,2,"S end, deep spot",444407,781355,24-May-18,0.53
ANSTRUTHER LAKE,N KAWARTHA,96,2,"S end, deep spot",444407,781355,06-Jun-19,0.50
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,13-Jun-15,0.58
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,23-May-16,0.61
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,26-Jun-16,0.56
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,26-Jul-16,0.57
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,06-Jul-17,0.55
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,24-Jun-18,0.53
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,19-May-19,0.60
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,30-Jun-19,0.40
